file,gradient_rmse,gradient_corr,crossfall_rmse,crossfall_corr
1000~~Test-Videos 2023-2024~7674~Video_1752485838,0.6961215770251628,0.4507563360547022,0.052896124621751514,0.5865884600853942
1000~Lonrix Test Network~Lonrix Test Videos~7674~Video_1754971873,2.1413642069173258,0.8681134240402447,0.19390891332444296,-0.35987599124216235
1002~Hamilton~Lonrix Test Videos~115~Video_1756692526,2.7718406270091465,-0.585946660727168,0.23568411062267258,-0.37253610236572154
10009~Juno App WW Geometry Test~Lonrix Test Videos~4518~video_7175345834,3.5353355904131782,0.436093325938489,0.35139496446681096,0.030002014111363096
