longitude_from,latitude_from,longitude_to,latitude_to,predicted_gradient,predicted_crossfall
175.2055129,-37.6218094,175.2069149,-37.6218867,4.286999999999981,2.624666666666679
175.2067222,-37.6220293,175.2060601,-37.6255351,4.008333333333312,2.8740000000000108
175.2060623,-37.6257741,175.2064476,-37.6305549,4.325333333333314,1.7300000000000046
175.2064711,-37.630803,175.2068364,-37.6355587,3.432333333333321,0.8110000000000003
175.2068319,-37.6358086,175.2065627,-37.6405558,4.390666666666647,2.195333333333334
175.2065486,-37.6408052,175.2062768,-37.6455695,2.8693333333333224,2.0736666666666674
175.2062617,-37.6458202,175.2059832,-37.6505626,1.2303333333333348,-0.5236666666666667
175.2059662,-37.6508095,175.2057395,-37.6555597,1.4893333333333347,-0.9499999999999998
175.2057375,-37.6558093,175.2060714,-37.6605457,1.402000000000001,-0.8649999999999978
175.2061039,-37.660791,175.20692,-37.6652213,1.6243333333333374,1.8966666666666685
175.2069569,-37.6654514,175.2078248,-37.6696899,0.7396666666666695,1.129333333333337
175.2078704,-37.6699131,175.2090262,-37.6741556,2.002333333333332,1.4606666666666686
175.2091157,-37.6743722,175.2117452,-37.6780624,1.7120000000000057,2.287000000000008
175.2119503,-37.6782178,175.2153756,-37.6813235,1.2320000000000046,1.763666666666671
175.2154856,-37.6815316,175.2157634,-37.6858918,0.9220000000000046,2.0026666666666753
175.215695,-37.6861217,175.2143233,-37.6907742,0.2976666666666664,1.8626666666666665
175.2142516,-37.6910112,175.2127129,-37.6952033,2.839666666666656,2.162000000000003
175.2126209,-37.6954139,175.2108569,-37.6994637,0.23633333333333317,2.0253333333333425
175.2107653,-37.6996711,175.2090025,-37.7038809,0.5780000000000002,2.0503333333333353
175.208933,-37.7041129,175.2081384,-37.7075161,1.1173333333333388,2.52066666666667
175.2081522,-37.7076005,175.2081135,-37.7080989,1.1253333333333322,2.265666666666677
175.2080263,-37.7080439,175.2074853,-37.7079061,0.30033333333333234,2.6540000000000106
