longitude_from,latitude_from,longitude_to,latitude_to,predicted_gradient,predicted_crossfall
175.2085253,-37.7079804,175.2073951,-37.7105048,-0.2573333333333326,2.7173333333333334
175.2073754,-37.7107053,175.2080642,-37.7147122,0.6133333333333328,2.267666666666661
175.2081341,-37.714927,175.2084003,-37.7192361,-0.07066666666666667,2.224999999999998
175.2083489,-37.7194682,175.2072761,-37.7241708,-0.21000000000000008,2.363666666666659
175.2072804,-37.7244108,175.208554,-37.7288336,0.14466666666666667,2.414666666666656
175.2086531,-37.7290431,175.2106038,-37.7317209,1.5143333333333346,2.6989999999999905
175.2106412,-37.7317486,175.2109897,-37.7337613,-2.273666666666666,2.522666666666667
175.2109637,-37.7341682,175.2120811,-37.7383356,-0.3720000000000007,2.551666666666656
175.2121623,-37.7385538,175.2136661,-37.7426048,-0.8999999999999958,2.707333333333321
175.2137468,-37.7428169,175.2153222,-37.7468944,-0.7699999999999976,2.593333333333323
175.2154245,-37.7471035,175.2186678,-37.7509439,0.36133333333333234,2.687999999999988
175.2188737,-37.7511019,175.2232285,-37.7532925,-3.110333333333341,2.4849999999999883
175.2234817,-37.7533702,175.2284363,-37.7549107,-4.076333333333351,2.4883333333333195
175.2286547,-37.7550337,175.2294662,-37.7555706,-3.472666666666681,2.5376666666666643
