longitude_from,latitude_from,longitude_to,latitude_to,predicted_gradient,predicted_crossfall
175.2080222,-37.7080927,175.2061429,-37.7075927,0.21266666666666667,2.656333333333344
175.2062161,-37.7075404,175.2082388,-37.7049758,1.2556666666666687,2.676666666666675
175.2083385,-37.7047733,175.2101056,-37.7008376,2.3433333333333284,2.564999999999999
175.2101964,-37.7006314,175.211898,-37.6966814,3.971333333333317,2.4649999999999945
175.2119933,-37.6964666,175.2136608,-37.6923114,4.48,2.6456666666666653
175.2137354,-37.692091,175.2149817,-37.6878743,5.021000000000007,2.7339999999999973
175.2150452,-37.6876525,175.2148512,-37.6833902,3.092000000000005,2.7276666666666682
175.2147388,-37.683179,175.2118499,-37.6795628,4.588666666666669,2.6740000000000057
175.2117135,-37.6793829,175.209429,-37.6757848,4.60966666666666,2.707000000000006
175.2093353,-37.6755822,175.2079523,-37.6716139,5.510333333333325,2.990000000000007
175.2079062,-37.6713965,175.2071122,-37.6672944,5.674000000000025,2.823333333333323
175.2070718,-37.667078,175.2062834,-37.6629887,5.723000000000023,2.8096666666666565
175.2062442,-37.6627708,175.2056647,-37.6586667,5.788666666666688,2.9643333333333315
175.2056479,-37.6584445,175.2055735,-37.6541967,5.607666666666686,2.8659999999999894
175.2055862,-37.6539753,175.2058317,-37.6497779,5.838666666666693,2.933333333333325
175.2058418,-37.6495607,175.2060889,-37.645225,5.821000000000023,2.954999999999998
175.2060889,-37.645225,175.2063403,-37.6408144,5.545666666666679,2.8496666666666615
175.2063561,-37.6405916,175.2065962,-37.6363865,5.809333333333357,2.95733333333333
175.2066049,-37.6361608,175.2063706,-37.6320149,5.058000000000009,2.7923333333333242
175.2063496,-37.6317949,175.2059558,-37.6275835,5.252333333333351,3.0573333333333412
175.2059349,-37.6273651,175.2053451,-37.6233933,5.350333333333352,2.806999999999999
175.2052755,-37.6232232,175.2044595,-37.6221694,4.701999999999982,2.8393333333333337
